jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.43902600e+02
2.00000000e-02,-1.40076800e+02
4.00000000e-02,-1.37617900e+02
6.00000000e-02,-1.35142500e+02
8.00000000e-02,-1.32654000e+02
1.00000000e-01,-1.30148500e+02
1.20000000e-01,-1.27630300e+02
1.40000000e-01,-1.25097800e+02
1.60000000e-01,-1.22554200e+02
1.80000000e-01,-1.20004200e+02
2.00000000e-01,-1.17447500e+02
2.20000000e-01,-1.14886500e+02
2.40000000e-01,-1.12325100e+02
2.60000000e-01,-1.09759100e+02
2.80000000e-01,-1.07190700e+02
3.00000000e-01,-1.04616200e+02
3.20000000e-01,-1.02030700e+02
3.40000000e-01,-9.94255700e+01
3.60000000e-01,-9.67792400e+01
3.80000000e-01,-9.40563600e+01
4.00000000e-01,-9.12073900e+01
4.20000000e-01,-8.81617900e+01
4.40000000e-01,-8.48375200e+01
4.60000000e-01,-8.11171400e+01
4.80000000e-01,-7.68127500e+01
5.00000000e-01,-7.15545000e+01
5.20000000e-01,-6.45823200e+01
5.40000000e-01,-5.43886500e+01
5.60000000e-01,-3.80731300e+01
5.80000000e-01,-1.00554700e+01
6.00000000e-01,4.04614800e+01
6.20000000e-01,1.34548700e+02
6.40000000e-01,3.13679300e+02
6.60000000e-01,6.60033600e+02
6.80000000e-01,1.33737800e+03
7.00000000e-01,2.67366800e+03
7.20000000e-01,5.32833400e+03
7.40000000e-01,1.06317800e+04
7.60000000e-01,2.12742800e+04
7.80000000e-01,4.27009400e+04
8.00000000e-01,8.59201600e+04
8.20000000e-01,1.73102500e+05
8.40000000e-01,3.48582600e+05
8.60000000e-01,7.00085400e+05
8.80000000e-01,1.39882600e+06
