charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.04768000e+22
2.00000000e-02,4.05759100e+22
4.00000000e-02,4.06773500e+22
6.00000000e-02,4.07804400e+22
8.00000000e-02,4.08849200e+22
1.00000000e-01,4.09910500e+22
1.20000000e-01,4.10995100e+22
1.40000000e-01,4.12114000e+22
1.60000000e-01,4.13281200e+22
1.80000000e-01,4.14512100e+22
2.00000000e-01,4.15822700e+22
2.20000000e-01,4.17228100e+22
2.40000000e-01,4.18742300e+22
2.60000000e-01,4.20378600e+22
2.80000000e-01,4.22151100e+22
3.00000000e-01,4.24078300e+22
3.20000000e-01,4.26188800e+22
3.40000000e-01,4.28527000e+22
3.60000000e-01,4.31157200e+22
3.80000000e-01,4.34167400e+22
4.00000000e-01,4.37670500e+22
4.20000000e-01,4.41810300e+22
4.40000000e-01,4.46765300e+22
4.60000000e-01,4.52742600e+22
4.80000000e-01,4.59949800e+22
5.00000000e-01,4.68553600e+22
5.20000000e-01,4.78648800e+22
5.40000000e-01,4.90253600e+22
5.60000000e-01,5.03329300e+22
5.80000000e-01,5.17808300e+22
6.00000000e-01,5.33617100e+22
6.20000000e-01,5.50691100e+22
6.40000000e-01,5.68986000e+22
6.60000000e-01,5.88487300e+22
6.80000000e-01,6.09223000e+22
7.00000000e-01,6.31282000e+22
7.20000000e-01,6.54844700e+22
7.40000000e-01,6.80235700e+22
7.60000000e-01,7.08013100e+22
7.80000000e-01,7.39115500e+22
8.00000000e-01,7.75093200e+22
8.20000000e-01,8.18441300e+22
8.40000000e-01,8.73045400e+22
8.60000000e-01,9.44730600e+22
