charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,8.92925400e+22
2.00000000e-02,8.79480400e+22
4.00000000e-02,8.66023700e+22
6.00000000e-02,8.52657900e+22
8.00000000e-02,8.39402300e+22
1.00000000e-01,8.26278000e+22
1.20000000e-01,8.13309100e+22
1.40000000e-01,8.00523000e+22
1.60000000e-01,7.87951100e+22
1.80000000e-01,7.75629900e+22
2.00000000e-01,7.63601500e+22
2.20000000e-01,7.51915500e+22
2.40000000e-01,7.40630200e+22
2.60000000e-01,7.29815000e+22
2.80000000e-01,7.19552600e+22
3.00000000e-01,7.09941400e+22
3.20000000e-01,7.01096200e+22
3.40000000e-01,6.93144600e+22
3.60000000e-01,6.86211600e+22
3.80000000e-01,6.80397500e+22
4.00000000e-01,6.75785900e+22
4.20000000e-01,6.72523200e+22
4.40000000e-01,6.70851200e+22
4.60000000e-01,6.71018600e+22
4.80000000e-01,6.73195100e+22
5.00000000e-01,6.77443000e+22
5.20000000e-01,6.83727200e+22
5.40000000e-01,6.91942000e+22
5.60000000e-01,7.01943800e+22
5.80000000e-01,7.13578300e+22
6.00000000e-01,7.26700800e+22
6.20000000e-01,7.41187600e+22
6.40000000e-01,7.56941800e+22
6.60000000e-01,7.73897200e+22
6.80000000e-01,7.92020600e+22
7.00000000e-01,8.11314600e+22
7.20000000e-01,8.31821000e+22
7.40000000e-01,8.53620800e+22
7.60000000e-01,8.76828900e+22
7.80000000e-01,9.01584600e+22
8.00000000e-01,9.28070700e+22
8.20000000e-01,9.56630300e+22
8.40000000e-01,9.87975300e+22
8.60000000e-01,1.02335600e+23
8.80000000e-01,1.06471200e+23
9.00000000e-01,1.11496700e+23
9.20000000e-01,1.17852700e+23
9.40000000e-01,1.26193300e+23
9.60000000e-01,1.37464200e+23
9.80000000e-01,1.53000600e+23
1.00000000e+00,1.74671800e+23
1.02000000e+00,2.05125300e+23
1.04000000e+00,2.48185700e+23
1.06000000e+00,3.09460200e+23
1.08000000e+00,3.97213500e+23
1.10000000e+00,5.23616800e+23
1.12000000e+00,7.06530700e+23
1.14000000e+00,9.72035700e+23
