jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.31734500e+02
2.00000000e-02,-1.28792600e+02
4.00000000e-02,-1.25982500e+02
6.00000000e-02,-1.23098000e+02
8.00000000e-02,-1.20156100e+02
1.00000000e-01,-1.17180200e+02
1.20000000e-01,-1.14199100e+02
1.40000000e-01,-1.11240500e+02
1.60000000e-01,-1.08334400e+02
1.80000000e-01,-1.05501900e+02
2.00000000e-01,-1.02759300e+02
2.20000000e-01,-1.00111900e+02
2.40000000e-01,-9.75611000e+01
2.60000000e-01,-9.51005900e+01
2.80000000e-01,-9.27260500e+01
3.00000000e-01,-9.04274200e+01
3.20000000e-01,-8.81916000e+01
3.40000000e-01,-8.59957700e+01
3.60000000e-01,-8.38084800e+01
3.80000000e-01,-8.15832300e+01
4.00000000e-01,-7.92494400e+01
4.20000000e-01,-7.67110700e+01
4.40000000e-01,-7.38252300e+01
4.60000000e-01,-7.03772300e+01
4.80000000e-01,-6.60187500e+01
5.00000000e-01,-6.01325700e+01
5.20000000e-01,-5.15705400e+01
5.40000000e-01,-3.81571900e+01
5.60000000e-01,-1.57552900e+01
5.80000000e-01,2.35319900e+01
6.00000000e-01,9.48778900e+01
6.20000000e-01,2.27655000e+02
6.40000000e-01,4.79153200e+02
6.60000000e-01,9.61878100e+02
6.80000000e-01,1.89817000e+03
7.00000000e-01,3.72994600e+03
7.20000000e-01,7.34002100e+03
7.40000000e-01,1.44999000e+04
7.60000000e-01,2.87777000e+04
7.80000000e-01,5.73803000e+04
8.00000000e-01,1.14885100e+05
8.20000000e-01,2.30760700e+05
8.40000000e-01,4.64365400e+05
8.60000000e-01,9.34355800e+05
8.80000000e-01,1.87498600e+06
