charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.35794200e+22
2.00000000e-02,5.33313700e+22
4.00000000e-02,5.34112700e+22
6.00000000e-02,5.34873800e+22
8.00000000e-02,5.35570400e+22
1.00000000e-01,5.36176900e+22
1.20000000e-01,5.36679900e+22
1.40000000e-01,5.37083600e+22
1.60000000e-01,5.37411400e+22
1.80000000e-01,5.37697100e+22
2.00000000e-01,5.37974200e+22
2.20000000e-01,5.38270900e+22
2.40000000e-01,5.38614400e+22
2.60000000e-01,5.39037500e+22
2.80000000e-01,5.39584200e+22
3.00000000e-01,5.40310300e+22
3.20000000e-01,5.41280500e+22
3.40000000e-01,5.42568200e+22
3.60000000e-01,5.44255200e+22
3.80000000e-01,5.46435800e+22
4.00000000e-01,5.49221900e+22
4.20000000e-01,5.52748100e+22
4.40000000e-01,5.57171600e+22
4.60000000e-01,5.62664400e+22
4.80000000e-01,5.69391500e+22
5.00000000e-01,5.77481600e+22
5.20000000e-01,5.87003600e+22
5.40000000e-01,5.97962300e+22
5.60000000e-01,6.10311700e+22
5.80000000e-01,6.23976900e+22
6.00000000e-01,6.38873700e+22
6.20000000e-01,6.54923600e+22
6.40000000e-01,6.72064300e+22
6.60000000e-01,6.90257000e+22
6.80000000e-01,7.09493400e+22
7.00000000e-01,7.29802400e+22
7.20000000e-01,7.51257500e+22
7.40000000e-01,7.73984800e+22
7.60000000e-01,7.98173600e+22
7.80000000e-01,8.24113600e+22
8.00000000e-01,8.52321900e+22
8.20000000e-01,8.83791200e+22
8.40000000e-01,9.20263700e+22
8.60000000e-01,9.64511700e+22
8.80000000e-01,1.02073500e+23
