charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.93113200e+22
2.00000000e-02,5.80509300e+22
4.00000000e-02,5.81129900e+22
6.00000000e-02,5.81677700e+22
8.00000000e-02,5.82144400e+22
1.00000000e-01,5.82528900e+22
1.20000000e-01,5.82835900e+22
1.40000000e-01,5.83074700e+22
1.60000000e-01,5.83256600e+22
1.80000000e-01,5.83392200e+22
2.00000000e-01,5.83489700e+22
2.20000000e-01,5.83556300e+22
2.40000000e-01,5.83604000e+22
2.60000000e-01,5.83653100e+22
2.80000000e-01,5.83740400e+22
3.00000000e-01,5.83920000e+22
3.20000000e-01,5.84262800e+22
3.40000000e-01,5.84854900e+22
3.60000000e-01,5.85796700e+22
3.80000000e-01,5.87205200e+22
4.00000000e-01,5.89218700e+22
4.20000000e-01,5.92000200e+22
4.40000000e-01,5.95733400e+22
4.60000000e-01,6.00606600e+22
4.80000000e-01,6.06784800e+22
5.00000000e-01,6.14381100e+22
5.20000000e-01,6.23441300e+22
5.40000000e-01,6.33949400e+22
5.60000000e-01,6.45846100e+22
5.80000000e-01,6.59051400e+22
6.00000000e-01,6.73482700e+22
6.20000000e-01,6.89065400e+22
6.40000000e-01,7.05739000e+22
6.60000000e-01,7.23492200e+22
6.80000000e-01,7.42303400e+22
7.00000000e-01,7.62212000e+22
7.20000000e-01,7.83288600e+22
7.40000000e-01,8.05643100e+22
7.60000000e-01,8.29424400e+22
7.80000000e-01,8.54841600e+22
8.00000000e-01,8.82228600e+22
8.20000000e-01,9.12050900e+22
8.40000000e-01,9.44603700e+22
8.60000000e-01,9.79400300e+22
