iv.csv Applied Voltage,iv.csv Current
0.00000000e+00,-3.42857000e-12
2.00000000e-02,-3.32823000e-12
4.00000000e-02,-3.27391500e-12
6.00000000e-02,-3.21860000e-12
8.00000000e-02,-3.16235500e-12
1.00000000e-01,-3.10530100e-12
1.20000000e-01,-3.04753800e-12
1.40000000e-01,-2.98918300e-12
1.60000000e-01,-2.93030800e-12
1.80000000e-01,-2.87097700e-12
2.00000000e-01,-2.81124000e-12
2.20000000e-01,-2.75108700e-12
2.40000000e-01,-2.69044600e-12
2.60000000e-01,-2.62925100e-12
2.80000000e-01,-2.56728000e-12
3.00000000e-01,-2.50453400e-12
3.20000000e-01,-2.44004800e-12
3.40000000e-01,-2.37398800e-12
3.60000000e-01,-2.30553900e-12
3.80000000e-01,-2.23391800e-12
4.00000000e-01,-2.15781200e-12
4.20000000e-01,-2.07519900e-12
4.40000000e-01,-1.98281300e-12
4.60000000e-01,-1.87544400e-12
4.80000000e-01,-1.74424200e-12
5.00000000e-01,-1.57279100e-12
5.20000000e-01,-1.32987600e-12
5.40000000e-01,-9.55685100e-13
5.60000000e-01,-3.36316000e-13
5.80000000e-01,7.45670800e-13
6.00000000e-01,2.70753900e-12
6.20000000e-01,6.35532100e-12
6.40000000e-01,1.32566900e-11
6.60000000e-01,2.64797000e-11
6.80000000e-01,5.20619000e-11
7.00000000e-01,1.01939400e-10
7.20000000e-01,1.99790400e-10
7.40000000e-01,3.92657500e-10
7.60000000e-01,7.73822600e-10
7.80000000e-01,1.52670500e-09
8.00000000e-01,3.00449300e-09
8.20000000e-01,5.85739400e-09
8.40000000e-01,1.11804600e-08
8.60000000e-01,2.05376100e-08
8.80000000e-01,3.55993400e-08
