charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,6.24591300e+22
2.00000000e-02,6.04288700e+22
4.00000000e-02,6.03961500e+22
6.00000000e-02,6.03619700e+22
8.00000000e-02,6.03266100e+22
1.00000000e-01,6.02906200e+22
1.20000000e-01,6.02547500e+22
1.40000000e-01,6.02199100e+22
1.60000000e-01,6.01871600e+22
1.80000000e-01,6.01576800e+22
2.00000000e-01,6.01328200e+22
2.20000000e-01,6.01141200e+22
2.40000000e-01,6.01034100e+22
2.60000000e-01,6.01028800e+22
2.80000000e-01,6.01151500e+22
3.00000000e-01,6.01433100e+22
3.20000000e-01,6.01911700e+22
3.40000000e-01,6.02637000e+22
3.60000000e-01,6.03678100e+22
3.80000000e-01,6.05132400e+22
4.00000000e-01,6.07133100e+22
4.20000000e-01,6.09850600e+22
4.40000000e-01,6.13482400e+22
4.60000000e-01,6.18232000e+22
4.80000000e-01,6.24276600e+22
5.00000000e-01,6.31738000e+22
5.20000000e-01,6.40668500e+22
5.40000000e-01,6.51056200e+22
5.60000000e-01,6.62845000e+22
5.80000000e-01,6.75956700e+22
6.00000000e-01,6.90309100e+22
6.20000000e-01,7.05829400e+22
6.40000000e-01,7.22462300e+22
6.60000000e-01,7.40174000e+22
6.80000000e-01,7.58961200e+22
7.00000000e-01,7.78850300e+22
7.20000000e-01,7.99900600e+22
7.40000000e-01,8.22198900e+22
7.60000000e-01,8.45847800e+22
7.80000000e-01,8.70968400e+22
8.00000000e-01,8.97752300e+22
8.20000000e-01,9.26487600e+22
8.40000000e-01,9.57343100e+22
8.60000000e-01,9.89867500e+22
8.80000000e-01,1.02260400e+23
