jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.54913800e+02
2.00000000e-02,-1.54286700e+02
4.00000000e-02,-1.53609900e+02
6.00000000e-02,-1.52877400e+02
8.00000000e-02,-1.52083500e+02
1.00000000e-01,-1.51226800e+02
1.20000000e-01,-1.50304200e+02
1.40000000e-01,-1.49306900e+02
1.60000000e-01,-1.48233800e+02
1.80000000e-01,-1.47073700e+02
2.00000000e-01,-1.45814100e+02
2.20000000e-01,-1.44437600e+02
2.40000000e-01,-1.42918600e+02
2.60000000e-01,-1.41227200e+02
2.80000000e-01,-1.39322700e+02
3.00000000e-01,-1.37149500e+02
3.20000000e-01,-1.34631900e+02
3.40000000e-01,-1.31661900e+02
3.60000000e-01,-1.28078700e+02
3.80000000e-01,-1.23649000e+02
4.00000000e-01,-1.18090800e+02
4.20000000e-01,-1.11143000e+02
4.40000000e-01,-1.02713400e+02
4.60000000e-01,-9.30102200e+01
4.80000000e-01,-8.23996100e+01
5.00000000e-01,-7.09477500e+01
5.20000000e-01,-5.78183900e+01
5.40000000e-01,-4.06924700e+01
5.60000000e-01,-1.48636400e+01
5.80000000e-01,2.86198100e+01
6.00000000e-01,1.06865600e+02
6.20000000e-01,2.53046800e+02
6.40000000e-01,5.32234100e+02
6.60000000e-01,1.07310300e+03
6.80000000e-01,2.13174900e+03
7.00000000e-01,4.22039700e+03
7.20000000e-01,8.36754700e+03
7.40000000e-01,1.66437400e+04
7.60000000e-01,3.32214400e+04
7.80000000e-01,6.64973600e+04
8.00000000e-01,1.33291600e+05
8.20000000e-01,2.66995600e+05
8.40000000e-01,5.32942000e+05
8.60000000e-01,1.05628600e+06
