charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.58534700e+22
2.00000000e-02,4.61521800e+22
4.00000000e-02,4.64080500e+22
6.00000000e-02,4.66194600e+22
8.00000000e-02,4.67874100e+22
1.00000000e-01,4.69132400e+22
1.20000000e-01,4.69967300e+22
1.40000000e-01,4.70386100e+22
1.60000000e-01,4.70447200e+22
1.80000000e-01,4.70249900e+22
2.00000000e-01,4.69893000e+22
2.20000000e-01,4.69452600e+22
2.40000000e-01,4.68982500e+22
2.60000000e-01,4.68526500e+22
2.80000000e-01,4.68135800e+22
3.00000000e-01,4.67890500e+22
3.20000000e-01,4.67922600e+22
3.40000000e-01,4.68435600e+22
3.60000000e-01,4.69717800e+22
3.80000000e-01,4.72152800e+22
4.00000000e-01,4.76239400e+22
4.20000000e-01,4.82637900e+22
4.40000000e-01,4.92243900e+22
4.60000000e-01,5.06252400e+22
4.80000000e-01,5.26150800e+22
5.00000000e-01,5.53582700e+22
5.20000000e-01,5.90073900e+22
5.40000000e-01,6.36695000e+22
5.60000000e-01,6.93823700e+22
5.80000000e-01,7.61137500e+22
6.00000000e-01,8.37810100e+22
6.20000000e-01,9.22776000e+22
6.40000000e-01,1.01494600e+23
6.60000000e-01,1.11334000e+23
6.80000000e-01,1.21714600e+23
7.00000000e-01,1.32573900e+23
7.20000000e-01,1.43867900e+23
7.40000000e-01,1.55571900e+23
7.60000000e-01,1.67684300e+23
7.80000000e-01,1.80236700e+23
8.00000000e-01,1.93310800e+23
8.20000000e-01,2.07065300e+23
8.40000000e-01,2.21773400e+23
8.60000000e-01,2.37873300e+23
