jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.84707300e+02
2.00000000e-02,-1.82357100e+02
4.00000000e-02,-1.79651600e+02
6.00000000e-02,-1.76616300e+02
8.00000000e-02,-1.73291100e+02
1.00000000e-01,-1.69715700e+02
1.20000000e-01,-1.65925300e+02
1.40000000e-01,-1.61946700e+02
1.60000000e-01,-1.57816200e+02
1.80000000e-01,-1.53565900e+02
2.00000000e-01,-1.49222700e+02
2.20000000e-01,-1.44803500e+02
2.40000000e-01,-1.40318700e+02
2.60000000e-01,-1.35773900e+02
2.80000000e-01,-1.31177000e+02
3.00000000e-01,-1.26543400e+02
3.20000000e-01,-1.21894100e+02
3.40000000e-01,-1.17249900e+02
3.60000000e-01,-1.12619100e+02
3.80000000e-01,-1.07982100e+02
4.00000000e-01,-1.03281200e+02
4.20000000e-01,-9.84398700e+01
4.40000000e-01,-9.33653500e+01
4.60000000e-01,-8.79526200e+01
4.80000000e-01,-8.19998800e+01
5.00000000e-01,-7.50284600e+01
5.20000000e-01,-6.59994000e+01
5.40000000e-01,-5.28271500e+01
5.60000000e-01,-3.14732200e+01
5.80000000e-01,5.90831700e+00
6.00000000e-01,7.47270500e+01
6.20000000e-01,2.05663300e+02
6.40000000e-01,4.60427200e+02
6.60000000e-01,9.64214700e+02
6.80000000e-01,1.97268800e+03
7.00000000e-01,4.01081300e+03
7.20000000e-01,8.16136400e+03
7.40000000e-01,1.66657700e+04
7.60000000e-01,3.41763500e+04
7.80000000e-01,7.03629400e+04
8.00000000e-01,1.45312900e+05
8.20000000e-01,3.00596300e+05
8.40000000e-01,6.21463900e+05
8.60000000e-01,1.27977300e+06
