charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.32795400e+22
2.00000000e-02,5.32384100e+22
4.00000000e-02,5.33246300e+22
6.00000000e-02,5.34133800e+22
8.00000000e-02,5.35058600e+22
1.00000000e-01,5.36037200e+22
1.20000000e-01,5.37091800e+22
1.40000000e-01,5.38243800e+22
1.60000000e-01,5.39502600e+22
1.80000000e-01,5.40854100e+22
2.00000000e-01,5.42253100e+22
2.20000000e-01,5.43622800e+22
2.40000000e-01,5.44863800e+22
2.60000000e-01,5.45871500e+22
2.80000000e-01,5.46562000e+22
3.00000000e-01,5.46907900e+22
3.20000000e-01,5.46985100e+22
3.40000000e-01,5.47017800e+22
3.60000000e-01,5.47399100e+22
3.80000000e-01,5.48678900e+22
4.00000000e-01,5.51553900e+22
4.20000000e-01,5.56885800e+22
4.40000000e-01,5.65742000e+22
4.60000000e-01,5.79423300e+22
4.80000000e-01,5.99425300e+22
5.00000000e-01,6.27286800e+22
5.20000000e-01,6.64324800e+22
5.40000000e-01,7.11350600e+22
5.60000000e-01,7.68518300e+22
5.80000000e-01,8.35382100e+22
6.00000000e-01,9.11102900e+22
6.20000000e-01,9.94676700e+22
6.40000000e-01,1.08510400e+23
6.60000000e-01,1.18148200e+23
6.80000000e-01,1.28304600e+23
7.00000000e-01,1.38916500e+23
7.20000000e-01,1.49932500e+23
7.40000000e-01,1.61308100e+23
7.60000000e-01,1.73001300e+23
7.80000000e-01,1.84961200e+23
8.00000000e-01,1.97106500e+23
8.20000000e-01,2.09287300e+23
8.40000000e-01,2.21237800e+23
8.60000000e-01,2.32562700e+23
