charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.63249600e+22
2.00000000e-02,4.64745500e+22
4.00000000e-02,4.66150800e+22
6.00000000e-02,4.67461500e+22
8.00000000e-02,4.68678400e+22
1.00000000e-01,4.69806900e+22
1.20000000e-01,4.70863000e+22
1.40000000e-01,4.71881600e+22
1.60000000e-01,4.72913600e+22
1.80000000e-01,4.74010800e+22
2.00000000e-01,4.75208300e+22
2.20000000e-01,4.76517200e+22
2.40000000e-01,4.77924200e+22
2.60000000e-01,4.79397800e+22
2.80000000e-01,4.80901500e+22
3.00000000e-01,4.82420200e+22
3.20000000e-01,4.83997600e+22
3.40000000e-01,4.85775400e+22
3.60000000e-01,4.88024800e+22
3.80000000e-01,4.91161300e+22
4.00000000e-01,4.95752900e+22
4.20000000e-01,5.02537100e+22
4.40000000e-01,5.12458900e+22
4.60000000e-01,5.26713500e+22
4.80000000e-01,5.46743100e+22
5.00000000e-01,5.74123800e+22
5.20000000e-01,6.10313200e+22
5.40000000e-01,6.56331600e+22
5.60000000e-01,7.12542200e+22
5.80000000e-01,7.78651300e+22
6.00000000e-01,8.53896700e+22
6.20000000e-01,9.37292600e+22
6.40000000e-01,1.02782400e+23
6.60000000e-01,1.12456600e+23
6.80000000e-01,1.22672800e+23
7.00000000e-01,1.33367300e+23
7.20000000e-01,1.44490900e+23
7.40000000e-01,1.56007700e+23
7.60000000e-01,1.67897600e+23
7.80000000e-01,1.80162200e+23
8.00000000e-01,1.92833300e+23
8.20000000e-01,2.05985300e+23
8.40000000e-01,2.19753300e+23
