charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.82927900e+22
2.00000000e-02,4.74246000e+22
4.00000000e-02,4.71405300e+22
6.00000000e-02,4.68584800e+22
8.00000000e-02,4.65754400e+22
1.00000000e-01,4.62899200e+22
1.20000000e-01,4.59995600e+22
1.40000000e-01,4.57015200e+22
1.60000000e-01,4.53929600e+22
1.80000000e-01,4.50709900e+22
2.00000000e-01,4.47332200e+22
2.20000000e-01,4.43787100e+22
2.40000000e-01,4.40093600e+22
2.60000000e-01,4.36313100e+22
2.80000000e-01,4.32562600e+22
3.00000000e-01,4.29025400e+22
3.20000000e-01,4.25960700e+22
3.40000000e-01,4.23717900e+22
3.60000000e-01,4.22753400e+22
3.80000000e-01,4.23646900e+22
4.00000000e-01,4.27095300e+22
4.20000000e-01,4.33842900e+22
4.40000000e-01,4.44483500e+22
4.60000000e-01,4.59089400e+22
4.80000000e-01,4.76817600e+22
5.00000000e-01,4.95956400e+22
5.20000000e-01,5.14669400e+22
5.40000000e-01,5.31809800e+22
5.60000000e-01,5.47088600e+22
5.80000000e-01,5.60744000e+22
6.00000000e-01,5.73182900e+22
6.20000000e-01,5.84782600e+22
6.40000000e-01,5.95824600e+22
6.60000000e-01,6.06500900e+22
6.80000000e-01,6.16946800e+22
7.00000000e-01,6.27272100e+22
7.20000000e-01,6.37578700e+22
7.40000000e-01,6.47959900e+22
7.60000000e-01,6.58489400e+22
7.80000000e-01,6.69210600e+22
8.00000000e-01,6.80133800e+22
8.20000000e-01,6.91240800e+22
8.40000000e-01,7.02494100e+22
8.60000000e-01,7.13846900e+22
8.80000000e-01,7.25250800e+22
9.00000000e-01,7.36660300e+22
9.20000000e-01,7.48035400e+22
9.40000000e-01,7.59340900e+22
9.60000000e-01,7.70546100e+22
9.80000000e-01,7.81623300e+22
1.00000000e+00,7.92546600e+22
1.02000000e+00,8.03290300e+22
1.04000000e+00,8.13830200e+22
1.06000000e+00,8.24155700e+22
1.08000000e+00,8.34290400e+22
1.10000000e+00,8.44289000e+22
1.12000000e+00,8.54199000e+22
1.14000000e+00,8.64041100e+22
1.16000000e+00,8.73821200e+22
1.18000000e+00,8.83543400e+22
