jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-2.87710700e+02
2.00000000e-02,-2.80005500e+02
4.00000000e-02,-2.72283900e+02
6.00000000e-02,-2.64411100e+02
8.00000000e-02,-2.56407200e+02
1.00000000e-01,-2.48288300e+02
1.20000000e-01,-2.40070100e+02
1.40000000e-01,-2.31767200e+02
1.60000000e-01,-2.23395300e+02
1.80000000e-01,-2.14968700e+02
2.00000000e-01,-2.06501400e+02
2.20000000e-01,-1.98007200e+02
2.40000000e-01,-1.89500800e+02
2.60000000e-01,-1.80996000e+02
2.80000000e-01,-1.72499400e+02
3.00000000e-01,-1.63996900e+02
3.20000000e-01,-1.55431600e+02
3.40000000e-01,-1.46679200e+02
3.60000000e-01,-1.37530300e+02
3.80000000e-01,-1.27697300e+02
4.00000000e-01,-1.16836200e+02
4.20000000e-01,-1.04496100e+02
4.40000000e-01,-8.98523100e+01
4.60000000e-01,-7.13015200e+01
4.80000000e-01,-4.64297800e+01
5.00000000e-01,-1.27965700e+01
5.20000000e-01,3.09895700e+01
5.40000000e-01,8.50219100e+01
5.60000000e-01,1.48745800e+02
5.80000000e-01,2.21608800e+02
6.00000000e-01,3.03219800e+02
6.20000000e-01,3.93135200e+02
6.40000000e-01,4.90561100e+02
6.60000000e-01,5.94175100e+02
6.80000000e-01,7.02189300e+02
7.00000000e-01,8.12666000e+02
7.20000000e-01,9.23970100e+02
7.40000000e-01,1.03511100e+03
7.60000000e-01,1.14583600e+03
7.80000000e-01,1.25644700e+03
8.00000000e-01,1.36750400e+03
8.20000000e-01,1.47957400e+03
8.40000000e-01,1.59307900e+03
8.60000000e-01,1.70825300e+03
8.80000000e-01,1.82515900e+03
9.00000000e-01,1.94372400e+03
9.20000000e-01,2.06379500e+03
9.40000000e-01,2.18517500e+03
9.60000000e-01,2.30767400e+03
9.80000000e-01,2.43124000e+03
1.00000000e+00,2.55737800e+03
1.02000000e+00,2.68460500e+03
1.04000000e+00,2.80921700e+03
1.06000000e+00,2.93392000e+03
1.08000000e+00,3.05858200e+03
1.10000000e+00,3.18312300e+03
1.12000000e+00,3.30748400e+03
1.14000000e+00,3.43162500e+03
1.16000000e+00,3.55552400e+03
1.18000000e+00,3.67917400e+03
