charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,5.22090700e+22
2.00000000e-02,5.14128200e+22
4.00000000e-02,5.11512300e+22
6.00000000e-02,5.08538700e+22
8.00000000e-02,5.05013600e+22
1.00000000e-01,5.01002400e+22
1.20000000e-01,4.96639300e+22
1.40000000e-01,4.92032600e+22
1.60000000e-01,4.87257900e+22
1.80000000e-01,4.82370100e+22
2.00000000e-01,4.77413700e+22
2.20000000e-01,4.72433800e+22
2.40000000e-01,4.67480200e+22
2.60000000e-01,4.62617100e+22
2.80000000e-01,4.57934200e+22
3.00000000e-01,4.53563500e+22
3.20000000e-01,4.49703400e+22
3.40000000e-01,4.46649900e+22
3.60000000e-01,4.44831200e+22
3.80000000e-01,4.44828400e+22
4.00000000e-01,4.47364200e+22
4.20000000e-01,4.53220600e+22
4.40000000e-01,4.63036000e+22
4.60000000e-01,4.76934300e+22
4.80000000e-01,4.94122800e+22
5.00000000e-01,5.12908500e+22
5.20000000e-01,5.31426300e+22
5.40000000e-01,5.48480500e+22
5.60000000e-01,5.63741900e+22
5.80000000e-01,5.77417100e+22
6.00000000e-01,5.89889800e+22
6.20000000e-01,6.01525300e+22
6.40000000e-01,6.12600200e+22
6.60000000e-01,6.23304700e+22
6.80000000e-01,6.33774100e+22
7.00000000e-01,6.44119300e+22
7.20000000e-01,6.54443300e+22
7.40000000e-01,6.64840400e+22
7.60000000e-01,6.75385600e+22
7.80000000e-01,6.86123300e+22
8.00000000e-01,6.97064800e+22
8.20000000e-01,7.08192900e+22
8.40000000e-01,7.19471300e+22
8.60000000e-01,7.30855200e+22
8.80000000e-01,7.42299900e+22
9.00000000e-01,7.53766600e+22
9.20000000e-01,7.65226600e+22
9.40000000e-01,7.76666600e+22
9.60000000e-01,7.88105800e+22
9.80000000e-01,7.99686300e+22
1.00000000e+00,8.12668700e+22
1.02000000e+00,8.26086400e+22
1.04000000e+00,8.36606800e+22
1.06000000e+00,8.47113200e+22
1.08000000e+00,8.57501600e+22
1.10000000e+00,8.67787000e+22
1.12000000e+00,8.77974900e+22
1.14000000e+00,8.88072700e+22
1.16000000e+00,8.98087900e+22
1.18000000e+00,9.08028700e+22
