jv.dat Applied Voltage,jv.dat Current density
0.00000000e+00,-1.71441600e+02
2.00000000e-02,4.22593900e+02
4.00000000e-02,5.82024400e+02
6.00000000e-02,6.38632200e+02
8.00000000e-02,5.71136100e+02
1.00000000e-01,4.43301000e+02
1.20000000e-01,2.98576700e+02
1.40000000e-01,1.63493300e+02
1.60000000e-01,5.27749400e+01
1.80000000e-01,-2.78917900e+01
2.00000000e-01,-7.95746600e+01
2.20000000e-01,-1.07764400e+02
2.40000000e-01,-1.19770700e+02
2.60000000e-01,-1.22413600e+02
2.80000000e-01,-1.20639800e+02
3.00000000e-01,-1.17203100e+02
3.20000000e-01,-1.13267700e+02
3.40000000e-01,-1.09132500e+02
3.60000000e-01,-1.04804100e+02
3.80000000e-01,-9.97616500e+01
4.00000000e-01,-9.35160900e+01
4.20000000e-01,-8.44801700e+01
4.40000000e-01,-6.94999900e+01
4.60000000e-01,-4.18479700e+01
4.80000000e-01,1.27645600e+01
5.00000000e-01,1.26251400e+02
5.20000000e-01,3.58297600e+02
5.40000000e-01,8.49209200e+02
5.60000000e-01,1.88951800e+03
5.80000000e-01,4.08796500e+03
6.00000000e-01,8.73820900e+03
6.20000000e-01,1.85686000e+04
6.40000000e-01,3.93293700e+04
6.60000000e-01,8.31159900e+04
6.80000000e-01,1.75301100e+05
7.00000000e-01,3.68885300e+05
7.20000000e-01,7.73804600e+05
7.40000000e-01,1.61530200e+06
