charge\_tot.csv Applied Voltage,charge\_tot.csv Total charge density
0.00000000e+00,4.58350800e+22
2.00000000e-02,4.49612800e+22
4.00000000e-02,4.47683200e+22
6.00000000e-02,4.45757400e+22
8.00000000e-02,4.43774800e+22
1.00000000e-01,4.41633900e+22
1.20000000e-01,4.39238100e+22
1.40000000e-01,4.36529900e+22
1.60000000e-01,4.33533900e+22
1.80000000e-01,4.30318800e+22
2.00000000e-01,4.26953300e+22
2.20000000e-01,4.23498300e+22
2.40000000e-01,4.20018600e+22
2.60000000e-01,4.16599600e+22
2.80000000e-01,4.13364200e+22
3.00000000e-01,4.10491100e+22
3.20000000e-01,4.08232000e+22
3.40000000e-01,4.06929000e+22
3.60000000e-01,4.07031100e+22
3.80000000e-01,4.09103700e+22
4.00000000e-01,4.13817300e+22
4.20000000e-01,4.21875300e+22
4.40000000e-01,4.33808600e+22
4.60000000e-01,4.49590200e+22
4.80000000e-01,4.68252400e+22
5.00000000e-01,4.87997200e+22
5.20000000e-01,5.07000600e+22
5.40000000e-01,5.24200400e+22
5.60000000e-01,5.39399300e+22
5.80000000e-01,5.52906000e+22
6.00000000e-01,5.65173900e+22
6.20000000e-01,5.76606000e+22
6.40000000e-01,5.87496100e+22
6.60000000e-01,5.98040200e+22
6.80000000e-01,6.08373200e+22
7.00000000e-01,6.18602700e+22
7.20000000e-01,6.28828300e+22
7.40000000e-01,6.39142100e+22
7.60000000e-01,6.49618700e+22
7.80000000e-01,6.60306100e+22
8.00000000e-01,6.71223800e+22
8.20000000e-01,6.82373800e+22
8.40000000e-01,6.93764900e+22
8.60000000e-01,7.05500000e+22
8.80000000e-01,7.17399000e+22
9.00000000e-01,7.28939000e+22
9.20000000e-01,7.40237200e+22
9.40000000e-01,7.51425000e+22
9.60000000e-01,7.62510400e+22
9.80000000e-01,7.73483600e+22
1.00000000e+00,7.84336800e+22
1.02000000e+00,7.95066200e+22
1.04000000e+00,8.05671200e+22
1.06000000e+00,8.16154000e+22
1.08000000e+00,8.26519300e+22
1.10000000e+00,8.36772900e+22
1.12000000e+00,8.46921900e+22
1.14000000e+00,8.56973500e+22
1.16000000e+00,8.66935500e+22
1.18000000e+00,8.76815600e+22
